job_id,company,title,location,date_posted,applicants,seniority_level,employment_type,job_function,industries,company_website,workplace_type,description
4120758789,Medpace,AI Specialist,"Cincinnati, OH",2 weeks ago,92 applicants,Not Applicable,Full-time,Other,Pharmaceutical Manufacturing,,,"Research the latest AI tools from NLP to LLM to multi-agent capabilities to ensure we are maintaining a clear direction on the best in class AI;
Support the build and Implementation of private, large language models, fine-tuned based on both structured and text-based data inputs;
Integrate artificial intelligence to support AI applications that interact with the various AI tools through capabilities such as APIs;
Contribute to data and AI architecture review discussions, and support structural changes as needed;
Help drive AI technology thinking within the company across all departments;
Support departmental process improvement initiatives; and
Participate in educating, training and development of more junior team members.
Masters or PhD in engineering, computer or data science, or related field.
Proven experience implementing and fine-tuning Large Language Models or interactive AI applications (either >1 year post-graduate experience, or PhD dissertation experience).
Strong background in Natural Language Processing (NLP) and deep learning.
Preferably several years of experience working with different AI capabilities and showcasing your passion both at work and outside work in the utilization of AI.
Technical proficiency in programming languages and frameworks commonly used in NLP and AI (e.g., Python, TensorFlow, PyTorch).
Excellent communication skills to collaborate effectively with cross-functional teams.
Demonstrated ability to lead projects independently and mentor technical teams.
A passion for staying up-to-date with the latest advancements in NLP and AI technologies.
Analytical thinker with great attention to detail.
Cincinnati Campus Overview
Flexible work environment
Competitive PTO packages, starting at 20+ days
Competitive compensation and benefits package
Company-sponsored employee appreciation events
Employee health and wellness initiatives
Community involvement with local nonprofit organizations
Discounts on local sports games, fitness gyms and attractions
Modern, ecofriendly campus with an on-site fitness center
Structured career paths with opportunities for professional growth
Discounted tuition for UC online programs
Named a Top Workplace in 2024 by The Cincinnati Enquirer
Recognized by Forbes as one of America's Most Successful Midsize Companies in 2021, 2022, 2023 and 2024
Continually recognized with CRO Leadership Awards from Life Science Leader magazine based on expertise, quality, capabilities, reliability, and compatibility"
4222865045,Western & Southern Financial Group,AI Developer,Cincinnati Metropolitan Area,6 days ago,147 applicants,Associate,Full-time,Information Technology,Insurance,,,"Join Western & Southern – Somewhere You Want to Be
Western & Southern is somewhere to grow, lead, win and do good for others. Our supportive culture, continuous learning opportunities and connection to our local communities make our company the ideal place for a career. For more than 137 years, our long-term success has been fueled by a deep commitment to customer service and our community.
Headquartered in Cincinnati, W&S is aFortune500® company recognized as one of America’s Best Midsize Employers by Forbes. Our commitment to career growth and employee development earned us a top 100 ranking on the American Opportunity Index (AOI). We are dedicated to creating opportunities for our associates to grow and succeed. We take pride in our award-winning talent development team and our recognition as a Top 10 Military Friendly Employer and Top Spouse Employer.
Hear what our associates say about their experience at W&S!
Our Culture: Excellence and Collaboration
Western & Southern is built on a culture of integrity, top-notch performance, teamwork and collaboration. We’re committed to hiring and developing professionals who strive for excellence, demonstrate strong ethics and make fact-based decisions. Our associates are empowered to chase their career dreams while being supported every step of the way.
AI Developer Overview
We are seeking a skilled and forward-thinking developer to join our GenAI development team, contributing to the advancement of a Retrieval-Augmented Generation (RAG)-based platform that supports a variety of knowledge tasks. This system is a cornerstone of our internal GenAI innovation efforts—designed to capture, store, and generate knowledge from a wide range of sources including documents, databases, web content, and data services.
The ideal candidate will have experience building generative AI applications using APIs to large language models (LLMs) such as OpenAI GPT, Llama, Gemma, and similar. Full-stack development experience is highly desirable, with strong proficiency in Python, SQL, and React. Deep familiarity with LLM prompting best practices is also expected. This role involves close collaboration with both technology and business stakeholders across diverse functions. A can-do attitude, strong communication skills, and a passion for problem-solving are essential. We view the advancement of AI as critical to enhancing the employee experience, improving productivity, and driving business growth across the enterprise.
Qualifications:
Three or more years of experience in developing and deploying AI, NLP, or ML software systems (Required)
Proficiency with AI frameworks such as TensorFlow, PyTorch, or Hugging Face (Required)
Ability to work independently and collaboratively in a fast-paced environment (Required)
Strong problem-solving and communication skills (Required)
Demonstrated experience with data structures, algorithms, databases (Required)
Proficiency in programming languages, such as Python, Javascript (full stack), or C# (Required)
Bachelor's Degree (Preferred)
Experience with contemporary web development (Preferred)
What you will do
Designing and implementing the architecture and components of RAG-based applications, end-to-end.
Integrate AI Solutions seamlessly into existing systems to enhance performance.
Ensure robust deployment of AI applications in production environments, monitor performance, troubleshoot issues and implement necessary updates.
Working in Agile methodology within cloud-based development environments such as Azure or AWS.
Staying current on the rapidly changing landscape of LLM models and their surrounding APIs and frameworks.
Working with technology and business teams (shared services, IT Engineers, solutions architects and other stakeholders) to understand business challenges and ways that generative AI can assist.
Building and maintaining enterprise-grade automation with high security, performance, and resiliency.
Premier Benefits to Support You
We offer a comprehensive benefits package, including:
Medical, dental, vision, and life insurance.
401(k) savings plan with pension options.
Paid time off increasing with tenure.
Tuition reimbursement and individualized career development plans.
Parental leave and maternity leave with a 4-week transition back to work.
Access to on-site amenities like a fitness center, cafeteria and more.
Extensive employee discount program.
Western & Southern is not just a place to work—it’s somewhere to grow, lead, win and make a difference in your career and community. Learn more at www.westernsouthern.com/careers/home-office-careers."
4127858183,DataAnnotation,Data Analyst,Cincinnati Metropolitan Area,1 month ago,132 applicants,Not Applicable,Contract,"Engineering, Research, and Analyst","Software Development, Computer and Network Security, and Engineering Services",,,"DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.
We are looking for a proficient Data Analyst to join our team to train our AI chatbots. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
To apply to this role, you will need to be proficient in either Python and/or JavaScript. Your role will require proficiency in at least one programming language/framework (JavaScript, TypeScript, Python, C, C#, C++, HTML/CSS, React, Go, Java, Kotlin, SQL, or Swift) in order to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
Benefits:
This is a full-time or part-time REMOTE position
You’ll be able to choose which projects you want to work on
You can work on your own schedule
Projects are paid hourly, starting at $40+ USD per hour, with bonuses for high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbot
Write high-quality answers and code snippets
Evaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English (native or bilingual level)
Proficient in either Python and/or JavaScript
Excellent writing and grammar skills
A bachelor's degree (completed or in progress)
Previous experience as a Software Developer, Coder, Software Engineer, or Programmer
Note: Payment is made via PayPal. We will never ask for any money from you. PayPal will handle any currency conversions from USD. This job is only available to those in the US, UK, Canada, Australia, or New Zealand. Those located outside of these countries will not see work or assessments available on our site at this time."
4226562970,Medpace,AI Data Scientist,"Cincinnati, OH",9 hours ago,83 applicants,Not Applicable,Full-time,Engineering and Information Technology,Pharmaceutical Manufacturing,,,"Explore and work with different data sources to collate into knowledge;
Work with different business teams across the company with a variety of different business needs to identify potential areas that AI can support;
Manage the process of working through AI potentials from discovery research to PoC to production with the business teams and supporting tasks for IT developers;
Try out different AI tools to substantiate the potential of its use with the business team;
Translate results into compelling visualizations which illustrate the overall benefits of the use of AI and identify with the business team the overall value of its use;
Develop and map database architecture of methodological and clinical data systems;
Convert business tasks into meaningful developer Jira tasks for sprints;
Support departmental process improvement initiatives that can include AI; and
Participate in training and development of more junior team members.
Master’s degree or higher in informatics, computer science/engineering, health information, statistics, or related field required;
2 or more years of experience as a Data Scientist or closely related;
Experience applying machine learning to pharmaceutical or clinical data (or translatable artificial intelligence [ai] techniques from other industries);
Advanced computer programming skills (preferred language: Python);
Analytical thinker with great attention to detail;
Ability to prioritize multiple projects and tasks within tight timelines; and
Excellent written and verbal communication skills.
Cincinnati Campus Overview
Flexible work environment
Competitive PTO packages, starting at 20+ days
Competitive compensation and benefits package
Company-sponsored employee appreciation events
Employee health and wellness initiatives
Community involvement with local nonprofit organizations
Discounts on local sports games, fitness gyms and attractions
Modern, ecofriendly campus with an on-site fitness center
Structured career paths with opportunities for professional growth
Discounted tuition for UC online programs
Named a Top Workplace in 2024 by The Cincinnati Enquirer
Recognized by Forbes as one of America's Most Successful Midsize Companies in 2021, 2022, 2023 and 2024
Continually recognized with CRO Leadership Awards from Life Science Leader magazine based on expertise, quality, capabilities, reliability, and compatibility"
4218775654,Johnson & Johnson MedTech,Data Science Co-op - Fall 2025,"Cincinnati, OH",2 weeks ago,70 applicants,Not Applicable,Full-time,Engineering and Information Technology,Hospitals and Health Care,,,"As a Data Science co-op, you will have the opportunity to:
Perform data analyses using Machine Learning or other techniques to uncover new insights from surgical datasets, and/or create high-impact analytics web apps that enable further analysis.
Contribute to data pipelines to advance Ethicon’s robust and scalable Data Engineering infrastructure.
Write software to enable collaborative data analysis and ensure data quality.
Participate in data collection activities to fuel insight and solution creation.
Design and optimize data visualizations for consumption by management and business partners.
Contribute as a member of a team with mentorship from seasoned Data Scientists, Analysts, and Engineers in best practices in data analysis and software development.
Enable R&D Medical Device Product Development, Quality, or Supply Chain teams to make an impact on surgeons and patients.
Be enrolled in an accredited college/institution pursuing a Bachelor’s or Master’s degree in Engineering (Mechanical, Electrical, Biomedical, or other), Computer Science, Data Science, Statistics, or a related field.
Must have completed a minimum of two semesters in school at the beginning of the co-op in May 2025 (class standing of a sophomore or above)
Considered a student during the co-op term, must not have a graduation date prior to August 2025 (you do not need to be taking classes during this semester)
Have a minimum GPA of 3.0.
Have demonstrated Mechanical or Electrical Engineering aptitude via prior coursework, professional experience, hobby projects, or other experience.
Have demonstrated proficiency in R, Python, or another programming language that is Object-Oriented.
Have demonstrated interest in healthcare, robotics, mechanical systems, and/or electrical signals.
Have demonstrated leadership/participation in campus programs and/or community service activities.
Permanently authorized to work in the U.S., must not require sponsorship of an employment visa (e.g., H-1B or green card) at the time of application or in the future. Students currently on CPT, OPT, or STEM OPT usually requires future sponsorship for long term employment and do not meet the requirements for this program unless eligible for an alternative long-term status that does not require company sponsorship.
Scientific or Engineering datasets
Python Data Science libraries (Pandas, NumPy, SciPy, Scikit-Learn, PySpark, etc.)
Machine Learning algorithms and tools
SQL
Tableau
R Shiny
Dataiku
Git"
4224086580,London Computer Systems,Software Developer Co-op/Intern,"Cincinnati, OH",1 week ago,26 applicants,Internship,Internship,Engineering and Information Technology,Software Development,,,"Participate in web application development (including GUI design).
Produce efficient, clean, and well-commented code.
Analyze, design, test, and implement applications and databases.
Work closely with other teams, developers, and Senior Management to build new software features and applications.
Work with all User Interface, Application, and Database-related issues.
Experience with Object Oriented programming language (C# preferred)
Competency in developing modules independently
Excellent verbal and written communication skills
Ability to evaluate complex problems and arrive at a resolution
Ability to manage multiple projects simultaneously
Ability to thrive in a fast-paced environment
SQL/database experience
Excellent interface design skills
Experience with web and/or desktop applications
Experience with the full software development life cycle (SDLC)
Experience with WPF
Strong back-end development skills
Ability to explain complex technical information in simple language
Understanding of basic accounting concepts
Email communications from LCS may appear in Junk, Spam, or Promotions (Gmail) email folders. We recommend checking all email folders while communicating with us."
4118987216,Medpace,Clinical Database Programmer,"Cincinnati, OH",1 week ago,89 applicants,Not Applicable,Full-time,Information Technology,Pharmaceutical Manufacturing,,,"Coordinate with Data Managers to develop and maintain clinical study electronic data capture (EDC) databases according to company and/or sponsor standards;
Perform quality checks and validation testing in collaboration with colleagues in order to deliver a quality product to our Sponsors;
Gain and strengthen knowledge in the industry and in multiple electronic data capture systems;
Be an active member of multiple global project teams, and collaborate across several different functional areas.
Bachelor’s degree in computer science, mathematical science, life science or related field;
Basic level experience in at least one programming language;
Rave and/or C# or similar programming experience preferred, but not required;
Flexible and able to support a variety of studies;
Meticulous attention to detail
Cincinnati Campus Overview
Flexible work environment
Competitive PTO packages, starting at 20+ days
Competitive compensation and benefits package
Company-sponsored employee appreciation events
Employee health and wellness initiatives
Community involvement with local nonprofit organizations
Discounts on local sports games, fitness gyms and attractions
Modern, ecofriendly campus with an on-site fitness center
Structured career paths with opportunities for professional growth
Discounted tuition for UC online programs
Named a Top Workplace in 2024 by The Cincinnati Enquirer
Recognized by Forbes as one of America's Most Successful Midsize Companies in 2021, 2022, 2023 and 2024
Continually recognized with CRO Leadership Awards from Life Science Leader magazine based on expertise, quality, capabilities, reliability, and compatibility"
4217732528,DataAnnotation,Frontend Developer,Cincinnati Metropolitan Area,1 week ago,Be among the first 25 applicants,Not Applicable,Contract,"Engineering, Research, and Analyst","Software Development, Computer and Network Security, and Engineering Services",,,"DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.
We are looking for a proficient Frontend Developer to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
To apply to this role, you will need to be proficient in either Python and/or JavaScript. Your role will require proficiency in at least one programming language/framework (JavaScript, TypeScript, Python, C, C#, C++, HTML/CSS, React, Go, Java, Kotlin, SQL, or Swift) in order to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
Benefits:
This is a full-time or part-time REMOTE position
You’ll be able to choose which projects you want to work on
You can work on your own schedule
Projects are paid hourly, starting at $40+ USD per hour, with bonuses for high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbot
Write high-quality answers and code snippets
Evaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English (native or bilingual level)
Proficient in either Python and/or JavaScript
Excellent writing and grammar skills
A bachelor's degree (completed or in progress)
Previous experience as a Software Developer, Coder, Software Engineer, or Programmer
Note: Payment is made via PayPal. We will never ask for any money from you. PayPal will handle any currency conversions from USD. This job is only available to those in the US, UK, Canada, Australia, or New Zealand. Those located outside of these countries will not see work or assessments available on our site at this time."
4167957876,"3dB Labs, Inc.",DSP Software Engineer,"West Chester, OH",2 months ago,Be among the first 25 applicants,Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing,,,"Desired Programming languages/frameworks/platforms:
C++ (highly desired, as it is our primary development language; all versions from C++11 onward depending on the project)
Python 2.x/3.x (not strictly required; useful as a complement to our C++-based tools)
GUI development using Qt 5 framework
GPGPU software implementation using CUDA
Development of software for Linux operating systems (our primary target platform)
Desired Experience with our target application domains:
Digital signal processing and signals and systems theory
Background in software defined radio and digital communication theory is a major plus
Working knowledge of communication systems design and/or RF system design is desirable
Algorithm implementation using multithreading and SIMD techniques, mostly on x86 platforms
Proven strong analytical and critical thinking skills
Ability to work independently with freedom to develop your own creative technical solutions to our problems
Current or past US security clearance is a major plus
100% coverage of employee and dependent medical, vision, and dental
Coverage of co-pays and deductibles
401k, profit sharing of up to 25% of your salary
Flexible hours
Bank of holiday and PTO hours"
4221783497,Concentrix Limited Company,Data Engineer,"Cincinnati, OH",1 week ago,Be among the first 25 applicants,Entry level,Full-time,Information Technology,IT Services and IT Consulting,,,"English
Spanish"
